@relation HandActions

@attribute PlayerAction {f,k,c,b1,b2,b3}
@attribute PotSize numeric
@attribute BetCountActingPlayer numeric
@attribute BetCountObservingPlayer numeric
@attribute LastActionActingPlayer {f,k,c1,c2,b1,b2,b3}
@attribute LastActionObservingPlayer {f,k,c1,c2,b1,b2,b3}
@attribute ActingPlayerOnButton {true,false}
@attribute FaceCards numeric
@attribute DeckSuited numeric
@attribute DeckConnectors numeric
@attribute GameStage {pf,fp,tn,rv}
@attribute TotalActionCount numeric

@data
k,12,1,0,b2,c2,false,1,2,0,fp,1
f,80,1,1,k,b2,false,1,2,0,fp,2
f,88,1,1,b2,b2,true,1,2,0,fp,2
k,4,0,0,k,k,false,1,1,0,fp,0
f,43,0,1,k,b2,false,1,1,0,fp,1
f,43,0,1,k,b2,true,0,1,0,fp,1
k,12,1,0,b2,c2,false,2,1,2,fp,1
c,80,1,1,k,b2,false,2,1,2,fp,2
k,148,1,1,c2,b2,false,3,2,2,tn,2
c,474,1,2,k,b3,false,3,2,2,tn,3
c,474,1,2,k,b3,false,3,2,2,rv,3
f,43,0,1,k,b2,true,1,2,0,fp,1
k,4,0,0,k,k,false,2,1,0,fp,0
c,43,0,1,k,b2,false,2,1,0,fp,1
k,82,0,1,c2,b2,false,2,2,0,tn,1
f,441,0,2,k,b3,false,2,2,0,tn,2
f,72,1,1,b2,b2,true,1,2,2,fp,2
b2,16,2,0,b2,c2,false,3,2,0,fp,2
b1,44,3,0,b2,c2,false,3,2,0,tn,3
f,80,1,1,b2,b2,true,2,2,2,fp,2
k,4,0,0,k,k,false,1,1,0,fp,0
f,43,0,1,k,b2,false,1,1,0,fp,1
f,43,0,1,k,b2,true,1,2,2,fp,1
b2,14,2,0,b2,c2,false,1,2,0,fp,2
k,4,0,0,k,k,false,1,1,0,fp,0
f,43,0,1,k,b2,false,1,1,0,fp,1
c,72,1,1,b2,b2,true,2,1,0,fp,2
c,467,1,2,c2,b3,true,2,2,0,tn,3
c,467,1,2,c2,b3,true,2,2,0,rv,3
k,4,0,0,k,k,false,1,1,0,fp,0
