@relation HandStrength

@attribute HandStrength numeric
@attribute PotSize numeric
@attribute ActionCount numeric
@attribute DeckStrength numeric

@data
84715346,204,10,816433
17484144,28,10,17462544
33831680,70,9,17019920
17283664,98,11,763202
34088704,56,10,17331488
51038464,278,11,17484080
17091472,178,10,824916
759858,16,10,602640
17344848,218,11,693553
17484128,108,11,17483024
17218176,16,9,764002
34372352,800,12,834161
17082448,30,9,689185
17611392,14,9,17606464
34028288,88,10,17008416
755540,48,9,755540
833925,36,10,833616
34098176,36,10,16828480
17471328,4,9,17462864
821092,24,10,820768
17611312,74,10,834096
17222544,26,10,833875
33688320,40,10,746000
750898,72,10,750880
17353632,32,10,829490
764278,4,9,693776
84510545,84,10,554304
33831680,8,10,750640
17606496,48,11,17605920
33958400,10,10,17212448
17091216,84,10,693569
16955760,28,9,759618
67371008,800,13,16871936
67371008,12,9,815632
833910,20,10,833360
16886128,24,9,16885552
17087024,4,9,17080848
17217360,36,10,750881
16820336,8,10,689984
34347264,8,10,824848
16894608,4,9,829505
34302976,10,9,17549408
67764224,10,9,694114
689475,24,10,545842
690019,8,9,554545
16960400,24,10,16959808
33901312,16,9,751188
17417808,82,11,615728
34097664,24,9,17343504
17478704,34,10,672545
33897216,12,10,17020704
17348448,12,9,755557
33818368,8,9,16806688
17537104,14,9,17537088
34277120,22,10,16822800
17484672,12,10,17483616
34081536,174,12,755264
17283424,16,9,759650
759923,12,10,758544
759875,4,9,759875
16955744,216,11,759379
832834,48,9,832832
834166,32,11,829282
751170,24,11,750625
16959856,8,10,823824
34092544,800,12,550192
34161152,24,9,34161152
34241280,24,10,17479472
34241536,26,10,17287744
17078368,10,10,624212
34212864,8,10,17479168
17353632,38,10,834177
34170880,10,9,624483
16881232,38,10,615729
694116,24,11,694082
17218176,72,10,755557
17352272,26,10,820529
34105600,12,10,17327136
34235648,20,10,17457920
820546,4,9,545824
16960144,8,10,694322
17078384,72,9,17073952
34245632,16,9,34242816
34374912,36,9,34102272
34097664,72,12,17073440
17086800,18,11,758833
825154,8,10,824336
33966592,36,10,685634
67371008,14,9,606736
17090656,26,10,17073664
34105600,50,11,624481
16894864,10,10,833808
84506195,72,11,624467
17484144,72,11,829808
34237440,46,10,17482240
764277,8,9,764274
17091488,12,9,829012
17611120,10,10,17609776
16893792,8,10,16868128
16877408,108,11,16872752
50868736,36,10,17314304
764022,36,9,763749
16893776,24,11,16872736
84575553,72,12,541456
834148,12,10,763425
84706627,34,11,820820
100806656,34,10,50511872
50968320,432,11,17413712
825459,4,9,825137
34015744,72,11,16819728
17222272,12,9,17213440
17257520,36,10,344848
34232320,24,11,17148016
833653,108,11,832834
17152656,256,12,17146384
16959600,12,9,16942896
50964224,800,11,17409552
84579378,800,11,693569
17091424,32,10,833090
84506145,34,10,16946704
101167104,18,9,34307072
764020,24,9,685105
84567345,138,12,693520
16947040,24,9,16947040
101347328,4,9,101347328
67567616,34,10,17396784
16959824,16,9,807968
34020352,4,9,815632
17222272,26,10,821091
17156464,14,9,17143328
34343424,36,9,34342144
34318592,10,9,17541424
33901568,38,10,17090352
33826560,16,11,17068544
16894848,20,11,833296
17484656,48,10,17479440
67895296,48,10,17479776
17086832,8,10,17086240
17484160,16,9,829829
16960368,4,9,833346
16828800,32,10,821056
34294016,24,11,17535504
34084352,36,9,34084352
33885184,16,11,16827680
100683776,18,11,33884672
17157008,26,10,833872
17218160,24,9,763744
34319360,8,9,17549920
33692416,48,11,16954384
34023680,72,10,16947248
33969152,36,10,17065248
34359040,16,9,17593376
84715536,16,9,17483776
17091440,8,9,816449
694339,12,10,672545
16947312,12,10,620082
34382848,16,10,34359808
34302976,32,10,16829280
17388592,50,12,606992
34158080,32,10,17384224
17152096,24,11,746785
17413968,108,11,619809
50947072,30,10,17384192
16947296,14,9,615746
17222560,70,11,17212416
17340208,48,10,624417
100675584,30,10,16824880
84719733,72,10,17610864
34212864,50,10,16829344
34359296,8,10,34359040
34219776,16,9,17462544
16951664,10,9,16947008
67764224,72,11,690017
51152640,4,9,51147520
16881488,62,10,619792
834199,48,11,834162
16829024,4,9,16819792
34307072,32,10,17549088
34351872,36,10,17576464
17528112,72,9,750368
17288080,12,9,833654
834183,4,9,833651
16955504,8,9,755537
17021584,4,9,693571
33831168,48,11,17012032
17339968,24,9,624161
16958784,16,9,344592
34290688,38,10,17532720
17419120,72,11,17418080
17410160,36,10,17400608
33901312,16,9,17085696
34313472,24,11,17412352
50645760,36,10,17085728
34028288,14,9,17274928
16829040,74,12,16819776
690020,36,9,689168
17611072,800,14,832528
84650067,800,11,17549872
834164,12,9,816177
34020096,8,9,17281552
51165696,800,13,17610864
17549152,24,9,833380
34302464,36,9,763456
33962240,26,10,17012256
34298112,36,11,17152256
829268,4,9,816433
34306560,62,11,17528336
17025936,22,10,758834
50833664,10,10,50827264
17353552,12,10,833618
829831,12,10,694304
17483888,72,10,690016
17021568,14,9,17021008
17541424,8,9,17541424
34035712,90,12,17270288
34081536,12,9,34078976
33962496,36,10,693827
17478704,70,9,738081
17025680,36,11,17017152
17152640,16,9,689747
33961984,8,9,17008128
17471328,148,13,685650
824899,10,9,615201
34372096,48,11,17287760
833926,294,12,624195
34170880,72,11,17209408
624482,216,12,620048
33691648,16,9,16941312
17017200,8,9,693552
50768128,144,10,17213696
33953536,20,11,17199888
16816224,8,10,550208
34302976,34,10,833633
67829760,800,12,764292
67829760,94,10,34306304
34106112,48,9,17204544
17222224,36,10,828978
16960416,8,9,762656
17288096,12,10,834149
17283168,126,12,751136
17349264,24,9,759841
17025648,36,10,17016656
51069696,800,13,17515024
694116,216,12,685088
834164,10,9,763712
17418784,36,10,829729
17484592,14,9,17478432
17353632,24,9,833653
17484688,24,9,834115
67371008,62,12,606736
16960368,50,10,16958224
16890240,18,9,623888
34159360,14,9,17412624
34243840,800,13,689424
67567616,106,11,751171
17017216,16,9,623920
34354944,16,9,17593392
50693120,88,9,17122064
16955776,24,10,754720
101003264,16,10,50684672
34096896,56,9,17072928
17352272,26,10,17327424
689747,24,10,689747
17152640,8,10,763987
829251,16,9,684832
624210,72,10,610832
17218160,16,9,763425
84711488,26,10,833601
17349200,22,10,763986
17091488,104,10,17085696
17467232,16,11,690017
17025376,38,10,17012288
34167808,232,12,17154576
17286736,62,10,812336
17339696,16,9,623376
101351424,72,10,51021312
17549952,14,9,17549888
17607008,8,9,17606944
829285,36,9,828688
17021312,26,10,759923
34036480,4,9,763729
17479792,64,10,763986
17598272,72,9,821056
33885184,254,13,17150976
17156448,12,10,824915
764277,24,9,764240
51024896,800,11,17470480
829814,36,11,828995
16942912,10,10,554034
816707,12,10,816176
34040832,216,10,17261600
84715074,50,11,828466
17157024,16,9,834162
34170880,26,10,17397312
17344048,58,12,689680
17218176,54,9,755265
34244864,32,11,17465872
17021312,30,9,758544
33958912,8,9,17221664
17483040,34,10,827920
100859904,30,9,50561536
84575554,32,11,694356
33967104,48,10,33956864
33757952,24,9,16881712
17410128,178,12,689424
16955488,4,9,16955408
33622528,184,10,16884480
50382592,14,9,16828256
34232576,66,9,33896704
34240000,124,12,17213216
34226944,92,11,34210560
751170,72,9,737808
33962240,72,11,17012240
17288080,10,10,17287488
34376448,90,10,17353504
17143648,24,10,619808
17353296,74,10,828705
17021536,36,10,17020496
17483600,12,9,828688
833926,8,9,833619
67305472,12,9,832016
17091488,58,12,834113
17602672,28,11,825459
17549856,12,10,834080
17221712,24,9,17221712
17348960,4,9,759904
34220800,36,10,16956032
17611328,8,10,834115
34216192,26,10,16886048
16889920,12,9,541200
17283456,38,10,624400
33830912,24,9,17073968
16956032,8,9,754192
33756672,34,10,16859904
33622784,8,9,16881664
17528400,144,12,750896
17021584,4,9,764259
17418320,38,10,825428
67436544,34,10,67436544
34233344,34,10,17156656
17025952,14,9,834179
17611120,108,11,833363
17610544,224,12,833296
17217920,24,9,759376
17339984,24,9,623904
17086560,16,10,755008
763987,8,9,763984
51152640,24,10,51151360
17091488,8,10,829556
17549408,22,11,833634
50449152,800,12,833825
759892,10,9,759889
84710706,78,10,824097
17287744,216,10,816161
17606192,72,10,828977
17148272,38,10,694114
17217904,14,9,17199872
34362880,20,11,17155616
16956032,36,10,16950016
17087072,16,9,17081648
17218176,16,9,764003
689748,8,9,550160
51104256,800,13,17549824
67436544,8,9,16929840
17484160,72,11,829794
833650,38,10,755489
17152384,16,9,759909
17419104,800,10,17419056
17021552,8,9,762657
50776832,38,10,834146
67436544,38,10,67436544
17549936,106,10,17540656
34035712,108,11,17138704
34081280,4,9,16811296
50881792,82,11,17326592
34366208,36,10,17589008
764293,36,9,689440
17087024,108,10,762930
34383360,14,9,34382592
16955216,14,10,480306
34015232,50,12,554304
833362,10,10,816417
17414784,40,10,759874
34241280,36,10,17479456
17021584,36,10,763731
17025920,8,9,17021024
67633152,84,10,67633152
51163904,10,9,17609472
17532224,800,13,545842
17091184,8,10,17082160
34101504,86,10,17143808
34040832,38,10,17274432
17593904,48,9,815905
34028288,126,13,755506
825411,72,11,824368
34289152,56,10,17510912
33961984,48,12,17008128
84436274,64,10,16934192
34211840,70,11,17449472
34016000,38,10,750368
33893376,72,11,16960400
17204544,8,10,550208
17024848,50,11,480016
17012832,8,9,615472
829558,72,10,816690
829814,12,9,693844
17349264,8,9,17349264
16829056,8,9,16829056
34302976,188,10,834145
17217616,26,10,17204480
34318080,50,9,17540928
16824704,216,11,759824
17087056,12,10,762912
33831680,24,10,17085744
34294272,24,9,17540112
34016000,8,9,17256960
34375936,48,10,17353040
67895296,10,9,833872
34375424,84,10,821025
829250,72,10,685072
16955776,8,10,16955392
17484672,114,10,834096
17480016,16,10,764240
50885888,32,10,17330688
84576066,38,10,685378
17353312,28,11,829540
833890,38,10,759329
16894064,72,11,16894000
17283728,36,9,763696
834164,14,9,832562
34387712,36,9,17610512
17340256,8,10,624482
33757696,24,9,16998656
16828800,8,9,820000
17288096,50,10,829284
34040320,36,10,17213776
17353536,38,10,833584
34224896,32,10,17479168
84715570,800,10,17326880
34102272,38,10,17340240
34366720,48,11,34365696
16942672,12,10,545568
17479760,12,9,17465856
84719441,34,11,816449
17610320,126,10,832801
834198,8,9,833893
33688320,144,11,16954880
