@relation HandActions

@attribute PlayerAction {f,k,c,b1,b2,b3}
@attribute PotSize numeric
@attribute BetCountActingPlayer numeric
@attribute BetCountObservingPlayer numeric
@attribute LastActionActingPlayer {f,k,c1,c2,b1,b2,b3}
@attribute LastActionObservingPlayer {f,k,c1,c2,b1,b2,b3}
@attribute ActingPlayerOnButton {true,false}
@attribute FaceCards numeric
@attribute DeckSuited numeric
@attribute DeckConnectors numeric
@attribute GameStage {pf,fp,tn,rv}
@attribute TotalActionCount numeric

@data
k,4,0,0,k,k,true,2,2,2,fp,0
k,4,0,0,k,k,true,3,2,3,tn,0
c,8,0,1,k,b2,true,4,2,3,rv,1
k,4,0,0,k,k,false,0,2,0,fp,0
f,6,0,1,k,b1,false,0,2,0,fp,1
k,4,0,0,k,k,true,1,3,2,fp,0
b1,4,1,0,k,k,true,2,3,2,tn,1
k,8,1,0,b1,k,true,2,3,3,rv,1
k,12,1,0,b2,c2,false,2,2,0,fp,1
b1,12,2,0,k,k,false,3,2,2,tn,2
f,6,0,1,k,b1,true,0,2,2,fp,1
k,12,0,1,c2,b2,false,1,1,3,fp,1
f,18,0,2,k,b1,false,1,1,3,fp,2
k,12,0,1,c2,b2,false,1,2,2,fp,1
c,18,0,2,k,b1,false,1,2,2,fp,2
k,24,0,2,c2,b1,false,1,3,2,tn,2
c,36,0,3,k,b1,false,1,3,2,tn,3
b1,48,1,3,c2,b1,false,2,3,2,rv,4
k,12,0,1,c2,b2,false,0,2,0,fp,1
c,18,0,2,k,b1,false,0,2,0,fp,2
k,24,0,2,c2,b1,false,0,2,0,tn,2
k,24,0,2,k,k,false,1,3,0,rv,2
k,48,1,1,b2,c2,false,1,1,0,fp,2
f,72,1,2,k,b1,false,1,1,0,fp,3
k,4,0,0,k,k,true,0,1,0,fp,0
k,4,0,0,k,k,true,0,2,0,tn,0
k,4,0,0,k,k,true,1,3,0,rv,0
k,4,0,0,k,k,false,0,1,2,fp,0
k,4,0,0,k,k,false,1,2,2,tn,0
k,4,0,0,k,k,false,2,2,2,rv,0
c,8,0,1,k,b2,false,2,2,2,rv,1
k,12,1,0,b2,k,true,2,1,2,fp,1
c,18,1,1,k,b1,true,2,1,2,tn,2
b1,24,2,1,c2,k,true,2,2,2,rv,3
k,4,0,0,k,k,false,1,2,2,fp,0
k,4,0,0,k,k,false,2,3,2,tn,0
k,4,0,0,k,k,false,2,3,2,rv,0
c,18,0,2,c2,b1,true,1,2,0,fp,2
k,24,0,2,c2,k,true,1,2,2,tn,2
k,24,0,2,k,k,true,2,2,2,rv,2
k,16,1,0,b2,c2,false,0,2,3,fp,1
